-3.3165	7.6457	83.467	0.63738	0.77672	0.013589	0.651	0.78736	0.11031	0.57597	0.7587	0.040571	0.65888	0.63463	0.50524	0.53184	0.65143	0.50064	0.69392	0.92214	0.13271	0.62603	0.95429	0.16867	0.59683	0.47763	0.85643	0.60611	0.78854	0.12609	0.59794	0.6437	0.49768	80.226	-5.5187	-22.582	0.13426	1.8827	-1.2985	-4.0757	-2.9537	-8.3229	-14.7	-0.33888	-2.0951	-31.749	-0.44974	-1.3339
-4.5261	2.1434	129.82	0.63532	0.79355	0.013693	0.65061	0.79363	0.1077	0.57631	0.76293	0.03944	0.65905	0.64568	0.50404	0.5319	0.66134	0.49887	0.69157	0.92941	0.1282	0.62314	0.96123	0.16338	0.59747	0.48973	0.85531	0.60577	0.79461	0.12287	0.59798	0.65421	0.49636	79.726	-5.7558	-22.468	-0.04132	2.8993	-1.5386	-4.5129	-2.9293	-7.9342	-18.753	0.40703	-2.6017	-41.373	-0.31352	-1.3478
-5.8837	-6.5479	186.22	0.63394	0.80501	0.013764	0.65011	0.79914	0.10502	0.57653	0.76613	0.038539	0.65922	0.65679	0.50294	0.53195	0.67125	0.49718	0.68908	0.93593	0.12305	0.62012	0.96761	0.15728	0.59819	0.50199	0.85434	0.60534	0.8001	0.11957	0.59801	0.66475	0.49514	79.043	-6.0406	-22.255	-0.046067	4.2674	-1.7859	-5.019	-2.8979	-7.5657	-22.478	1.5358	-3.1329	-51.22	-0.070353	-1.2732
-7.352	-19.044	252.03	0.63289	0.81393	0.01382	0.6495	0.80405	0.10239	0.57666	0.76852	0.037918	0.65937	0.66792	0.50194	0.53199	0.68112	0.49558	0.68651	0.94182	0.11744	0.61704	0.97355	0.15055	0.599	0.51436	0.85353	0.60481	0.80521	0.11632	0.59801	0.67529	0.49402	78.178	-6.3897	-21.939	0.075633	5.9766	-1.9577	-5.5612	-2.8594	-7.202	-25.01	3.1289	-3.5774	-59.631	0.29528	-1.0332
-8.905	-35.648	325.85	0.63207	0.8215	0.013867	0.6488	0.80853	0.099906	0.57671	0.77033	0.037603	0.65948	0.67905	0.50109	0.532	0.69097	0.49413	0.6839	0.94719	0.11154	0.61396	0.97914	0.14336	0.59989	0.5268	0.85291	0.60418	0.81011	0.11324	0.59798	0.68581	0.49304	77.151	-6.817	-21.529	0.36135	8.0549	-2.048	-6.118	-2.8124	-6.8254	-26.08	5.122	-3.9292	-66.201	0.72188	-0.68785
-10.564	-56.132	405.91	0.63144	0.82824	0.013909	0.64804	0.81268	0.097671	0.5767	0.7717	0.037596	0.65956	0.6902	0.50041	0.532	0.7008	0.49288	0.68132	0.9521	0.10553	0.61096	0.98443	0.13593	0.60084	0.53926	0.85247	0.60344	0.81492	0.11043	0.5979	0.69631	0.49222	75.997	-7.3312	-21.045	0.7851	10.485	-2.0169	-6.6822	-2.7555	-6.4197	-25.328	7.4328	-4.142	-70.247	1.1273	-0.28498
-12.426	-79.702	490.44	0.63099	0.83437	0.013948	0.64725	0.81656	0.095741	0.57667	0.77279	0.037868	0.65959	0.70137	0.49994	0.53196	0.71065	0.49186	0.67884	0.95662	0.099548	0.60808	0.98943	0.12842	0.60185	0.55169	0.85223	0.6026	0.81967	0.10794	0.59779	0.70681	0.4916	74.774	-7.9341	-20.52	1.3232	13.242	-1.8504	-7.2621	-2.6884	-5.9754	-22.737	9.9095	-4.207	-71.78	1.3744	0.067169
-14.664	-105.23	577.69	0.63074	0.83996	0.013984	0.64645	0.82021	0.094146	0.57664	0.77366	0.038373	0.65958	0.71259	0.49971	0.53189	0.72054	0.49114	0.67649	0.96074	0.093743	0.60538	0.99412	0.12101	0.60291	0.56406	0.85219	0.60166	0.82433	0.1058	0.59765	0.71733	0.4912	73.552	-8.6203	-19.988	1.9408	16.287	-1.5477	-7.8782	-2.6129	-5.4925	-18.429	12.365	-4.1283	-71.118	1.284	0.22762
-17.478	-131.54	665.75	0.63068	0.8451	0.014017	0.64567	0.82362	0.092888	0.57661	0.77439	0.039052	0.65953	0.72388	0.49974	0.5318	0.73049	0.49075	0.67433	0.96449	0.088233	0.60291	0.99846	0.11387	0.604	0.57634	0.85234	0.60066	0.82883	0.10402	0.59749	0.7279	0.49105	72.404	-9.3764	-19.48	2.5862	19.555	-1.114	-8.5544	-2.5322	-4.9817	-12.549	14.605	-3.9078	-68.607	0.66183	0.05001
-21.026	-157.64	752.58	0.6308	0.84984	0.014049	0.64492	0.82677	0.091949	0.5766	0.77503	0.039844	0.65945	0.73525	0.50002	0.53168	0.7405	0.49069	0.67238	0.96785	0.08312	0.6007	1.0024	0.10712	0.60512	0.5885	0.85268	0.59964	0.83307	0.10256	0.59733	0.73853	0.49116	71.392	-10.182	-19.015	3.1893	22.968	-0.555	-9.3094	-2.4504	-4.4631	-5.2343	16.45	-3.538	-64.525	-0.6646	-0.58536
