-24.441	-100.09	623.26	0.5896	0.83561	0.014593	0.60427	0.81949	0.072293	0.54189	0.76864	0.031865	0.62379	0.74076	0.48044	0.496	0.74532	0.47417	0.62623	0.91355	0.041354	0.55924	0.96104	0.06685	0.57157	0.61793	0.85	0.55803	0.82489	0.07805	0.5632	0.74138	0.47073	68.373	-15.141	-17.739	-1.6924	18.87	-1.4311	-6.6211	-0.87197	-1.2912	-10.446	6.3974	-2.3083	-52.38	-0.47767	-2.7393
-28.338	-112.36	676.91	0.59061	0.83905	0.014608	0.60428	0.82079	0.071687	0.5422	0.76878	0.032257	0.62438	0.74822	0.48075	0.49657	0.7521	0.4744	0.62617	0.91422	0.039326	0.55885	0.96242	0.063556	0.57262	0.62756	0.85083	0.5579	0.8263	0.077209	0.56371	0.74857	0.47109	67.96	-15.567	-17.521	-2.7818	21.154	-1.2428	-7.0964	-0.83193	-1.0603	-7.1041	6.6137	-2.1628	-49.942	-2.8608	-3.8106
-32.002	-122.93	725.18	0.59152	0.84213	0.014621	0.60427	0.82188	0.071155	0.54245	0.76879	0.032667	0.62496	0.75545	0.48111	0.49713	0.75881	0.47475	0.62614	0.91469	0.037468	0.55852	0.9636	0.06048	0.57367	0.63706	0.85173	0.55776	0.82751	0.076498	0.56425	0.75559	0.47152	67.629	-15.949	-17.294	-3.981	23.331	-1.0119	-7.5707	-0.79597	-0.8369	-3.536	6.7103	-1.9651	-46.978	-5.369	-4.8978
-35.431	-131.46	767.27	0.59233	0.84486	0.014633	0.60423	0.82277	0.070699	0.54263	0.76871	0.033085	0.62554	0.76246	0.48151	0.4977	0.76542	0.47522	0.62615	0.91498	0.035796	0.55824	0.96458	0.057646	0.57472	0.64644	0.8527	0.55761	0.82855	0.075915	0.56482	0.76243	0.472	67.386	-16.282	-17.059	-5.2418	25.346	-0.75693	-8.0367	-0.7663	-0.62533	0.11832	6.6694	-1.7284	-43.681	-7.9736	-6.0034
-38.673	-137.74	802.86	0.59308	0.84724	0.014643	0.60416	0.82351	0.070319	0.54275	0.76857	0.033502	0.62611	0.76923	0.48194	0.49826	0.77192	0.47577	0.62619	0.91513	0.034317	0.55801	0.9654	0.055075	0.57575	0.65569	0.85373	0.55746	0.82944	0.075455	0.5654	0.76909	0.47252	67.233	-16.565	-16.818	-6.5183	27.164	-0.50121	-8.4875	-0.74456	-0.42954	3.7151	6.4703	-1.4686	-40.271	-10.669	-7.1414
-41.77	-141.74	831.79	0.59378	0.84929	0.014652	0.60407	0.8241	0.070011	0.54282	0.76838	0.033909	0.62667	0.77574	0.48239	0.49881	0.77829	0.4764	0.62626	0.91516	0.033034	0.55784	0.96607	0.052777	0.57676	0.6648	0.85481	0.5573	0.83019	0.07511	0.56599	0.77553	0.47306	67.17	-16.796	-16.571	-7.7696	28.759	-0.26409	-8.9166	-0.732	-0.25297	7.1492	6.1077	-1.1986	-36.888	-13.443	-8.3142
-44.728	-143.49	854.07	0.59444	0.85103	0.014661	0.60397	0.82456	0.069773	0.54285	0.76818	0.034299	0.62722	0.78199	0.48284	0.49935	0.7845	0.47707	0.62635	0.91511	0.031946	0.55771	0.96662	0.050758	0.57774	0.67377	0.85593	0.55714	0.83084	0.074871	0.56657	0.78175	0.47362	67.196	-16.974	-16.32	-8.9606	30.115	-0.059001	-9.3184	-0.72924	-0.098372	10.334	5.5954	-0.92888	-33.634	-16.261	-9.5036
-47.512	-143.1	869.81	0.59509	0.85249	0.014668	0.60386	0.82493	0.0696	0.54285	0.76797	0.034666	0.62774	0.78796	0.4833	0.49987	0.79055	0.47778	0.62646	0.91499	0.031046	0.55763	0.96705	0.049017	0.57869	0.6826	0.85709	0.55699	0.83138	0.074728	0.56715	0.78775	0.47418	67.307	-17.1	-16.067	-10.064	31.221	0.10685	-9.6877	-0.7362	0.032292	13.196	4.9656	-0.66755	-30.586	-19.058	-10.671
-50.052	-140.74	879.27	0.59571	0.85368	0.014675	0.60374	0.8252	0.069486	0.54281	0.76777	0.035005	0.62825	0.79366	0.48376	0.50036	0.79641	0.47851	0.6266	0.91482	0.030324	0.55758	0.96739	0.047546	0.5796	0.6913	0.85828	0.55683	0.83185	0.074668	0.5677	0.79351	0.47474	67.498	-17.177	-15.814	-11.062	32.077	0.2312	-10.02	-0.75236	0.13801	15.675	4.2651	-0.42256	-27.792	-21.749	-11.764
-52.268	-136.63	882.87	0.59631	0.85464	0.014681	0.60362	0.82539	0.069425	0.54274	0.76757	0.035313	0.62872	0.79908	0.4842	0.50083	0.80208	0.47923	0.62674	0.91463	0.029768	0.55757	0.96764	0.046333	0.58046	0.69987	0.8595	0.55668	0.83223	0.07468	0.56822	0.79902	0.47529	67.76	-17.206	-15.563	-11.948	32.687	0.31391	-10.311	-0.77671	0.21854	17.734	3.5433	-0.20248	-25.272	-24.243	-12.735
